02/12 11:04:22 | TRACE | 829914 | :......rsvp_explode_packet: v=1,flg=0,type=2,cksm=54875,ttl=255,rsv=0,len=84
02/12 11:04:22 | TRACE | 829914 | :.......rsvp_parse_objects: STYLE is WF
02/12 11:04:22 | INFO | 829914 | :.......rsvp_parse_objects: obj RSVP_HOP hop=9.67.116.99, lih=0
02/12 11:04:22 | TRACE | 829914 | :......rsvp_event_mapSession: Session=9.67.116.99:1047:6 exists
02/12 11:04:22 | INFO | 829913 | :.......rsvp_flow_stateMachine: state RESVED, event RESV
02/12 11:04:22 | TRACE | 829914 | :........flow_timer_stop: Stop T4
02/12 11:04:22 | TRACE | 829914 | :........flow_timer_start: Start T4
02/12 11:04:22 | TRACE | 829914 | :.......rsvp_flow_stateMachine: reentering state RESVED
02/12 11:04:24 | EVENT | 829912 | :..mailslot_sitter: process received signal SIGALRM
02/12 11:04:24 | TRACE | 829914 | :.....event_timerT1_expire: T1 expired
02/12 11:04:24 | INFO | 829913 | :......router_forward_getOI: Ioctl to query route entry successful
02/12 11:04:24 | TRACE | 829914 | :......router_forward_getOI:         source address:   9.67.116.98
02/12 11:04:24 | TRACE | 829914 | :......router_forward_getOI:         out inf:   9.67.116.98
02/12 11:04:24 | TRACE | 829914 | :......router_forward_getOI:         gateway:   0.0.0.0
02/12 11:04:24 | TRACE | 829914 | :......router_forward_getOI:         route handle:   7f5251c8
02/12 11:04:24 | INFO | 829913 | :......rsvp_flow_stateMachine: state RESVED, event T1OUT
02/12 11:04:24 | TRACE | 829914 | :.......rsvp_action_nHop: constructing a PATH
02/12 11:04:24 | TRACE | 829914 | :.......flow_timer_start: started T1
02/12 11:04:24 | TRACE | 829914 | :......rsvp_flow_stateMachine: reentering state RESVED
02/12 11:04:24 | TRACE | 829912 | :.......mailslot_send: sending to (9.67.116.99:0)
02/12 11:04:35 | TRACE | 829914 | :......rsvp_event_mapSession: Session=9.67.116.99:1047:6 exists
02/12 11:04:35 | EVENT | 829913 | :.....api_reader: api request SENDER_WITHDRAW
02/12 11:04:35 | INFO | 829913 | :.......rsvp_flow_stateMachine: state RESVED, event PATHTEAR
02/12 11:04:35 | TRACE | 829914 | :........traffic_action_oif: is to remove filter
02/12 11:04:35 | INFO | 829913 | :.........qosmgr_request: Ioctl to remove reservation successful
02/12 11:04:35 | INFO | 829913 | :..........rpapi_Reg_UnregFlow: RSVPRemActionName:  Entering
02/12 11:04:35 | INFO | 829913 | :..........rpapi_Reg_UnregFlow: ReadBuffer:  Entering
02/12 11:04:35 | INFO | 829913 | :..........rpapi_Reg_UnregFlow: ReadBuffer:  Exiting
02/12 11:04:35 | INFO | 829913 | :..........rpapi_Reg_UnregFlow: RSVPRemActionName:  Result = 0
02/12 11:04:35 | INFO | 829913 | :..........rpapi_Reg_UnregFlow: RSVPRemActionName:  Exiting
02/12 11:04:35 | INFO | 829913 | :..........rpapi_Reg_UnregFlow: flow[sess=9.67.116.99:1047:6, source=9.67.116.98:8000] unregistered from CLCat2
02/12 11:04:35 | EVENT | 829913 | :..........qosmgr_response: DELRESP from qosmgr, reason=0, qoshandle=0
02/12 11:04:35 | INFO | 829912 | :..........qosmgr_response: src-9.67.116.98:8000 dst-9.67.116.99:1047 proto-6
02/12 11:04:35 | TRACE | 829914 | :...........traffic_reader: tc response msg=3, status=1
02/12 11:04:35 | TRACE | 829914 | :........rsvp_action_nHop: constructing a PATHTEAR
02/12 11:04:35 | TRACE | 829916 | :........flow_timer_stop: stopped T1
02/12 11:04:35 | TRACE | 829914 | :........flow_timer_stop: Stop T4
02/12 11:04:35 | TRACE | 829914 | :.......rsvp_flow_stateMachine: entering state SESSIONED
02/12 11:04:35 | TRACE | 829914 | :........mailslot_send: sending to (9.67.116.99:0)
02/12 11:04:35 | TRACE | 829914 | :......rsvp_event_propagate: flow[session=9.67.116.99:1047:6, source=9.67.116.98:8000] ceased
02/12 11:04:35 | EVENT | 829913 | :.....api_reader: api request CLOSE
02/12 11:04:35 | INFO | 829913 | :.......rsvp_flow_stateMachine: state SESSIONED, event PATHTEAR
02/12 11:04:35 | PROTERR| 829913 | :.......rsvp_flow_stateMachine: state SESSIONED does not expect event PATHTEAR
02/12 11:04:53 | EVENT | 829912 | :..mailslot_sitter: process received signal SIGTERM
02/12 11:04:53 | INFO | 829913 | :...check_signals: received TERM signal
02/12 11:04:53 | INFO | 829914 | :......term_policyAPI: UnRegisterFromPolicyAPI:  Entering 
02/12 11:04:53 | INFO | 829913 | :......term_policyAPI: ReadBuffer:  Entering
02/12 11:04:53 | INFO | 829913 | :......term_policyAPI: ReadBuffer:  Exiting
02/12 11:04:53 | INFO | 829913 | :......term_policyAPI: UnRegisterFromPolicyAPI:  Result = 0
02/12 11:04:53 | INFO | 829913 | :......term_policyAPI: UnRegisterFromPolicyAPI:  Exiting
02/12 11:04:53 | INFO | 829913 | :......term_policyAPI: APITerminate:  Entering
02/12 11:04:53 | INFO | 829912 | :......term_policyAPI: APITerminate:  Exiting
02/12 11:04:53 | INFO | 829913 | :......term_policyAPI: Policy API terminated
02/12 11:04:53 | INFO | 829913 | :......dreg_process: deregistering process with the system
02/12 11:04:53 | INFO | 829914 | :......dreg_process: attempt to dereg (ifaeddrg_byaddr)
02/12 11:04:53 | INFO | 829913 | :......dreg_process: rc from ifaeddrg_byaddr  rc =0
02/12 11:04:53 | INFO | 829913 | :.....terminator: process terminated with exit code 0
